reporterISO,partnerISO,primaryValue
ABW,AGO,36435558.43909606
ABW,ARE,111670.6202108297
ABW,ARG,2076.1649568017233
ABW,ATG,1226.734324523535
ABW,AUT,337.5177141526915
ABW,BEL,185303.19296654154
ABW,BFA,1048.0170371305976
ABW,BHS,35688.68544874658
ABW,BMU,779.8051706160417
ABW,BOL,502.3112354124693
ABW,BRA,340484.4219191338
ABW,BRB,52363.65196701325
ABW,BWA,175.2990087751434
ABW,CAN,89706.7710047794
ABW,CHE,251700.02250646913
ABW,CHL,146694.87982542894
ABW,CHN,104433.55079577572
ABW,COL,23409261.85436303
ABW,CRI,11994.809295300662
ABW,CZE,239.3789681908087
ABW,DEU,113677.52772626662
ABW,DMA,2066.2184622785594
ABW,DNK,142899.29751538963
ABW,DOM,1282954.5639669963
ABW,ECU,48343010.98849795
ABW,ESP,172796.47075311537
ABW,FIN,580.8752801527658
ABW,FRA,137888.91667425458
ABW,GBR,238211.24973378927
ABW,GRC,125181.27527146052
ABW,GRD,536.1279905919564
ABW,GUY,66431.97382057612
ABW,HKG,1003338.7099318155
ABW,HND,34303.470311487305
ABW,IDN,39148.07624390295
ABW,IND,64947.2937380852
ABW,IRN,124980.3560820926
ABW,ITA,1405580.2532456385
ABW,JAM,96968.37510632385
ABW,JPN,159.80701200549834
ABW,KNA,332.8760167085484
ABW,KOR,11101885.957970852
ABW,LBN,5322.700769162387
ABW,LCA,4410.275671570827
ABW,LKA,9841.06168121826
ABW,LUX,78.2457569155552
ABW,MEX,25405088.97490116
ABW,MNE,767.869377188245
ABW,MWI,74.83676169264952
ABW,MYS,896.5107063544968
ABW,NCL,3800.8871071183253
ABW,NGA,80885.55656200286
ABW,NLD,4220611.935405331
ABW,NZL,6557.732459417145
ABW,PAK,35361.114229117054
ABW,PAN,18297906.85322737
ABW,PER,2316.870124262287
ABW,PHL,15466.798983519704
ABW,POL,119.35793427796555
ABW,PRY,25756.77911755009
ABW,PSE,32455.541596611907
ABW,QAT,10127547.247470772
ABW,ROU,10555.8830876163
ABW,RWA,1745.225854126652
ABW,SAU,1631404.1387002796
ABW,SDN,43291064.40985024
ABW,SLV,224192.85928273268
ABW,STP,2392.4634826383317
ABW,SUR,2585540.8557241783
ABW,SVK,19.339963950839685
ABW,SVN,116805.00068368686
ABW,SWE,5627.726601206076
ABW,SYC,34973.02522131042
ABW,SYR,326193.29858825204
ABW,THA,78644.27979611662
ABW,TTO,469636.33780424134
ABW,TUR,909.7726990520486
ABW,USA,13639968.109727206
ABW,VCT,36.47047991826725
ABW,VEN,12425586.668301806
ABW,YEM,35104457.53683987
ABW,ZAF,4588.933279996626
AFG,AGO,437867.897396891
AFG,ALB,1234.6915201420659
AFG,ARE,14234805.615791954
AFG,ARG,3.9785978092655188
AFG,ARM,11949.718520128985
AFG,AUS,429991.5999338151
AFG,AUT,66658.09079606937
AFG,AZE,7151.529562154769
AFG,BEL,556992.4206033797
AFG,BEN,25726.27653434572
AFG,BFA,23375.533291434982
AFG,BGD,96844.37547460174
AFG,BGR,4056.8435661810736
AFG,BHR,49559.40361111593
AFG,BIH,5665.523280394098
AFG,BLR,1295431.4466968528
AFG,BOL,1235.1159039083877
AFG,BRA,25603.603101893368
AFG,BRB,37464.46627094875
AFG,BRN,1117.5562958402102
AFG,CAN,1130234.7608590694
AFG,CHE,390681.72737900197
AFG,CHL,6055.253459797051
AFG,CHN,7752880.032833286
AFG,CIV,7090.40172231358
AFG,COL,85258.03555438567
AFG,COM,11936.658772820072
