Index,Source,Target,Weight
1,ABW,ARE,215227.877851464
2,ABW,ARG,132.777143608149
3,ABW,ATG,446.978707693286
4,ABW,AUT,3949.8607095662
5,ABW,BEL,1132.14457738014
6,ABW,BHR,10557.6758751082
7,ABW,BHS,35.0084750934891
8,ABW,BRA,39.5095647483662
9,ABW,BRB,15286.7007101084
10,ABW,CAN,51242.2170698894
11,ABW,CHE,130677.584332336
12,ABW,CHN,44287.221356482
13,ABW,CIV,2212.68066101961
14,ABW,COL,4773415.20532764
15,ABW,CRI,2855.11118503877
16,ABW,CYM,6365.53951377862
17,ABW,DEU,95280.5626768106
18,ABW,DMA,194.676628663092
19,ABW,DNK,29117.8060396318
20,ABW,DOM,1179161.03444886
21,ABW,ESP,65549.4106541463
22,ABW,FIN,499.260364397902
23,ABW,FRA,18043.6406291689
24,ABW,GBR,13398.167520948
25,ABW,GRC,496.404172951347
26,ABW,GRD,35823.3048531061
27,ABW,GTM,321807.905480807
28,ABW,GUY,22347.9786530521
29,ABW,HKG,222864.293027602
30,ABW,HUN,8402.03402243738
31,ABW,IDN,20805.0366269878
32,ABW,IND,269286.372205213
33,ABW,IRL,3096.10052540304
34,ABW,ITA,41446.0490458622
35,ABW,JAM,53221.1991555435
36,ABW,KOR,41942333.6898772
37,ABW,LBN,1809.43804126062
38,ABW,LCA,50.0071060656853
39,ABW,MEX,1281692.78104236
40,ABW,MYS,7733.2001065027
41,ABW,NLD,2726001.18269752
42,ABW,NOR,5009.33669483157
43,ABW,NZL,622.695246366817
44,ABW,PAK,160350.811832231
45,ABW,PAN,2083929.99216829
46,ABW,POL,446.608117978368
47,ABW,PRT,4422.51113204554
48,ABW,SAU,1036302.31622348
49,ABW,SGP,34445.3642717314
50,ABW,SLV,319.852432086299
51,ABW,SUR,149720.31882905
52,ABW,SVK,9743.00615423447
53,ABW,SVN,10149.7071112116
54,ABW,SWE,9285.32485558403
55,ABW,SYC,1372.05015537973
56,ABW,THA,412087.043878278
57,ABW,TTO,4575.87725997724
58,ABW,TZA,979.237060472166
59,ABW,URY,715961.011287469
60,ABW,USA,17359357.4731755
61,ABW,VCT,202.19394850781
62,ABW,VEN,3539615.72012518
63,ABW,ZAF,142.30895113396
64,ABW,ZWE,91.7222047449414
65,AFG,AGO,742.705799350516
66,AFG,AND,625.397400522962
67,AFG,ARE,286676702.275949
68,AFG,ARG,111.857079134425
69,AFG,AUS,532286.457082564
70,AFG,AUT,873441.510254534
