Date,Jellyfish,Engraulis,Plotosus,Sebastes,Trachurus,Girella,Pseudolabrus,Parajulis,Halichoeres,Chaenogobius,Pterogobius,Tridentiger,Siganus,Sphyraena,Rudarius
2002/6/5,79.2,0,1,463,0,60,18,31,23,470,0,7,0,0,7
2002/6/20,157.2,0,0,19,650,42,22,10,23,0,0,0,0,0,7
2002/7/5,21.33333333,0,300,47,1150,8,7,7,32,0,50,2,0,0,1
2002/7/20,0.9375,0,302,46,958,34,19,30,22,80,6,38,0,0,1
2002/8/5,19.33333333,0,540,43,308,15,14,10,16,0,50,43,0,70,7
2002/8/20,1543.75,0,50,14,1000,12,18,2,27,0,25,9,0,621,5
2002/9/5,98,0,0,71,31,8,8,1,11,0,0,8,204,0,5
2002/9/20,16.13333333,0,5,37,750,6,17,1,7,0,0,6,102,0,8
2002/10/5,263.7333333,0,0,38,930,0,9,33,2,0,0,10,50,8,5
2002/10/20,100.625,0,0,9,739,51,7,10,2,0,8,10,0,0,4
2002/11/5,109.5333333,600,0,4,350,30,5,5,2,0,0,47,0,0,1
2002/11/20,19.6,800,0,36,340,11,7,2,0,1,0,18,0,0,6
2002/12/5,15.6,0,0,8,100,50,2,0,0,0,5,8,0,0,5
2002/12/20,78.75,0,0,17,0,2,1,0,1,0.5,12.5,19.5,0,0,6.5
2003/1/5,17.46666667,0,0,45,0,0,1,0,0,0,0,17,0,0,6
2003/1/20,1.75,0,0,18,0,3,3,0,0,3,0,20,1,0,3
2003/2/5,1.066666667,0,0,6,0,0,4,0,0,0,0,21,0,0,3
2003/2/20,0.307692308,0,0,48,0,0,0,0,0,0,0,18,0,0,8
2003/3/5,0.066666667,0,0,6,0,0,0,0,0,0,0,14,0,0,0
2003/3/20,0.125,0,0,5,0,0,1,0,0,0,0,11,0,0,6
2003/4/5,1.133333333,0,0,8,0,0,2,0,0,0,0,24,0,0,4
2003/4/20,1.466666667,0,0,18,0,1,0,0,0,0,0,51,0,0,4
2003/5/5,0.933333333,0,0,12,0,1,4,6,0,0,0,42,0,0,9
2003/5/20,2.875,0,0,9,0,4,6,5,1,0,0,17,0,0,8
2003/6/5,8,0,0,20,0,76,19,6,18,0,0,0,0,0,12
2003/6/20,2.333333333,0,0,22,30,11,13,5,27,0,0,3,0,0,3
2003/7/5,0.666666667,0,0,8,181,19,16,3,6,0,0,6,0,0,2
2003/7/20,0,0,0,7,330,66,16,9,7,0,0,1,0,0,5
2003/8/5,0.666666667,0,600,11,324,16,17,12,10,0,51,1,0,0,9
2003/8/20,2.5625,0,1140,17,184,14,24,10,3,35,31,21,0,0,10
2003/9/5,11.13333333,0,400,12,672,3,11,6,7,0,61,57,0,0,10
2003/9/20,22.73333333,0,40,10,100,56,12,3,5,0,3,29,15,0,9
2003/10/5,24.66666667,300,80,47,190,19,11,9,10,0,0,50,2,0,31
2003/10/20,40.4375,0,20,29,65,12,22,5,17,0,50,36,2,0,13
2003/11/5,8.866666667,0,0,36,300,3,8,0,0,0,30,27,0,0,3
2003/11/20,11.53333333,0,0,17,230,3,6,0,0,0,7,15,0,0,5
2003/12/5,30.53333333,700,2,31,404,5,9,0,0,0,50,31,0,0,2
2003/12/20,0.9375,0,0,22,0,0,4,0,0,0,0,12,0,0,2
2004/1/5,13.46666667,0,0,8,0,0,9,0,0,0,0,23,0,0,4
2004/1/20,0.375,0,0,15,0,1,3,0,0,0,0,21,0,0,1
2004/2/5,0.066666667,0,0,10,0,0,9,0,0,0,0,28,0,0,2
2004/2/20,0.071428571,0,0,7,0,0,1,0,0,0,0,8,0,0,0
2004/3/5,0.066666667,0,0,5,0,0,3,0,0,0,0,3,0,0,1
2004/3/20,0,0,0,3,0,0,5,0,0,0,0,6,0,0,0
2004/4/5,0,0,0,6,0,0,6,0,0,0,0,21,0,0,1
2004/4/20,1.066666667,0,0,32,20,0,8,0,0,0,0,14,0,0,5
2004/5/5,0.066666667,0,0,16,50,2,9,0,0,0,0,6,0,0,11
2004/5/20,0.25,0,0,16,0,0,10,0,0,0,101,1,0,0,11
2004/6/5,0.066666667,0,0,9,0,10,9,0,0,0,12,4,0,0,7
2004/6/20,0.466666667,0,0,50,0,0,22,1,5,2,0,1,0,0,8
2004/7/5,0.133333333,0,0,45,61,0,16,4,4,1,1,0,0,0,13
2004/7/20,0.0625,0,0,13,115,0,16,7,2,10,40,24,0,0,11
2004/8/5,2.133333333,0,200,16,260,11,33,2,11,51,24,195,0,0,24
2004/8/20,1.3125,0,0,24,750,0,7,5,1,0,30,72,0,20,38
2004/9/5,2.066666667,0,0,11,701,13,16,8,17,1,0,39,0,200,39
2004/9/20,2.666666667,0,70,36,1260,1,27,14,5,0,90,14,0,60,397
2004/10/5,0.2,0,50,27,850,0,19,3,3,0,30,62,1,70,324
2004/10/20,0,0,0,6,410,0,8,2,0,0,0,47,0,0,63
2004/11/5,0,0,0,39,403,0,11,5,0,0,10,119,0,0,50
2004/11/20,0,0,0,33,230,2,7,0,0,0,22,58,0,0,25
2004/12/5,0,0,0,51,350,0,7,0,0,0,0,61,0,0,7
2004/12/20,0,0,0,35,0,0,4,0,0,0,0,49,0,0,15
2005/1/5,0,0,0,24,0,0,5,0,0,0,2,77,0,0,9
2005/1/20,0,0,0,15,0,0,5,0,0,0,5,66,0,0,51
2005/2/5,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0
2005/2/20,0,0,0,10,0,0,1,0,0,0,0,35,0,0,5
2005/3/5,0.266666667,0,0,7,0,0,0,0,0,0,0,21,0,0,0
2005/3/20,0,0,0,3,0,0,0,0,0,0,0,14,0,0,2
2005/4/5,0.533333333,0,0,5,0,0,1,0,0,0,0,19,0,0,1
2005/4/20,0.2,0,0,11,20,0,0,0,0,0,0,66,0,0,8
2005/5/5,4.133333333,0,0,7,150,0,10,0,0,0,3,43,0,0,29
2005/5/20,8.5,0,0,10,0,0,17,1,1,530,0,1,0,0,18
2005/6/5,1.933333333,100,0,56,0,2,22,0,7,140,0,3,0,0,36
2005/6/20,6.333333333,0,0,11,10,0,30,7,1,10,280,7,0,0,6
2005/7/5,4.133333333,0,0,11,0,0,28,2,6,164,951,12,0,0,8
2005/7/20,1.5,1,1300,1,20,32,18,1,2,0,691,302,0,0,21
2005/8/5,1.066666667,0,0,3,512,76,16,1,16,0,256,131,0,0,31
2005/8/20,18.875,0,0,1,518,132,15,1,3,0,110,202,0,0,29
2005/8/5,172.9333333,0,0,1,300,2,26,1,3,0,285,64,0,100,49
2005/9/20,52.93333333,0,0,0,300,90,17,0,3,40,202,48,38,30,27
2005/10/5,22.86666667,50,0,1,200,56,13,2,1,0,66,45,110,50,12
2005/10/20,5.125,0,0,5,400,50,12,1,1,0,30,93,0,0,24
2005/11/5,34.66666667,50,0,4,30,46,5,0,0,0,10,85,0,0,16
2005/11/20,36.2,0,0,5,130,33,2,1,0,0,41,145,0,0,7
2005/12/5,22.06666667,0,0,3,330,8,2,2,1,0,46,42,0,0,4
2005/12/20,0.0625,0,0,0,0,0,2,0,0,0,0,28,0,0,6
2006/1/5,0,0,0,1,0,0,1,0,0,0,2,35,0,0,5
2006/1/20,0,0,0,3,0,5,2,0,0,0,3,35,0,0,8
2006/2/5,0,0,0,1,0,1,3,0,0,0,0,24,0,0,1
2006/2/20,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0
2006/3/5,0,0,0,2,0,0,2,0,0,0,2,36,0,0,5
2006/3/20,0,0,0,0,0,0,1,0,0,0,0,8,0,0,3
2006/4/5,1.733333333,0,0,1,0,0,5,0,0,0,0,40,0,0,5
2006/4/20,1.066666667,0,0,204,0,0,6,0,0,0,4,29,0,0,2
2006/5/5,0.466666667,0,0,1,0,0,2,0,0,0,0,10,0,0,6
2006/5/20,2.625,1400,0,65,200,0,5,3,5,0,3,14,0,0,4
2006/6/5,0.266666667,0,0,20,30,9,12,7,4,320,6,1,0,0,17
2006/6/20,0.666666667,0,0,54,0,4,7,2,2,82,1,0,0,0,10
2006/7/5,2.933333333,0,0,17,331,19,12,2,4,3,7,9,0,0,5
2006/7/20,0,0,0,41,305,1,16,4,1,300,60,18,0,0,3
2006/8/5,0.466666667,0,0,26,10,8,5,3,2,0,1,146,1,0,5
2006/8/20,2.5,0,480,53,263,30,16,3,1,30,0,326,0,46,22
2006/9/5,1.133333333,1,1,63,605,12,17,2,10,0,7,306,0,60,28
2006/9/20,23.53333333,0,0,8,50,25,12,1,2,0,150,76,0,230,16
2006/10/5,1.4,0,0,24,280,3,11,0,0,30,0,36,0,0,16
2006/10/20,6.9375,0,0,37,0,36,7,0,3,0,0,98,0,0,46
2006/11/5,11.53333333,0,0,14,30,17,7,1,1,0,0,132,0,0,19
2006/11/20,0,0,0,15,550,7,7,0,1,0,0,78,0,0,21
2006/12/5,0,1130,0,31,300,7,2,0,0,0,3,52,0,0,8
2006/12/20,0,3100,0,34,200,7,0,0,0,0,0,26,0,0,7
2007/1/5,0,0,0,12,0,2,2,0,0,0,0,38,0,0,10
2007/1/20,0,0,1,8,0,30,2,0,0,0,0,42,0,0,2
2007/2/5,0,0,0,4,0,0,1,0,0,0,0,8,0,0,0
2007/2/20,0,0,0,7,0,0,2,0,0,0,0,18,0,0,3
2007/3/5,0,0,0,2,0,0,1,0,0,0,0,19,0,0,2
2007/3/20,0.125,0,0,3,0,0,0,0,0,0,0,4,0,0,0
2007/4/5,0,0,0,22,0,0,3,0,0,0,0,20,0,0,2
2007/4/20,0.333333333,0,0,51,0,0,3,0,0,0,0,21,0,0,2
2007/5/5,2.533333333,20,0,32,0,4,4,4,2,0,0,16,0,0,9
2007/5/20,0.25,0,0,44,0,0,4,2,5,0,0,11,0,0,3
2007/6/5,0.933333333,0,0,32,200,2,14,6,5,0,0,10,0,0,6
2007/6/20,0,0,0,72,200,20,18,3,7,0,0,8,0,0,6
2007/7/5,0,0,0,37,0,2,18,1,10,0,0,7,0,0,3
2007/7/20,0.6875,0,0,58,31,4,10,1,3,8,0,13,0,0,7
2007/8/5,1.666666667,0,0,41,500,41,16,5,10,0,0,50,0,0,12
2007/8/20,2.75,0,2,35,450,44,15,4,6,0,0,24,0,0,13
2007/9/5,4.4,0,0,180,850,74,14,3,33,0,0,25,160,55,34
2007/9/20,21.53333333,0,2,54,400,13,6,2,7,0,0,24,8,100,55
2007/10/5,8.066666667,0,0,41,540,10,9,6,45,0,0,2,0,30,39
2007/10/20,12.375,0,0,57,500,26,5,10,24,0,0,4,10,80,60
