Index,Source,Target,Weight,Is_directed
1,0,1,1,0
2,0,41,1,0
3,0,10,1,0
4,0,5,1,0
5,0,68,1,0
6,0,72,1,0
7,0,12,1,0
8,0,11,1,0
9,0,74,1,0
10,0,80,1,0
11,0,71,1,0
12,0,26,1,0
13,0,65,1,0
14,0,34,1,0
15,0,4,1,0
16,0,19,1,0
17,0,7,1,0
18,0,90,1,0
19,0,70,1,0
20,0,64,1,0
21,0,40,1,0
22,0,94,1,0
23,0,18,1,0
24,0,22,1,0
25,0,3,1,0
26,2,3,1,0
27,2,37,1,0
28,2,12,1,0
29,2,39,1,0
30,2,15,1,0
31,2,30,1,0
32,2,16,1,0
33,2,7,1,0
34,2,34,1,0
35,2,23,1,0
36,2,18,1,0
37,2,43,1,0
38,2,68,1,0
39,2,75,1,0
40,2,31,1,0
41,2,13,1,0
42,2,14,1,0
43,2,71,1,0
44,2,79,1,0
45,2,20,1,0
46,2,63,1,0
47,2,72,1,0
48,2,26,1,0
49,2,27,1,0
50,2,5,1,0
51,2,9,1,0
52,2,67,1,0
53,2,73,1,0
54,2,6,1,0
55,2,57,1,0
56,2,83,1,0
57,2,4,1,0
58,2,24,1,0
59,2,51,1,0
60,2,22,1,0
61,2,80,1,0
62,2,0,1,0
63,2,40,1,0
64,2,11,1,0
65,2,19,1,0
66,2,1,1,0
67,2,62,1,0
68,2,65,1,0
69,2,38,1,0
70,2,94,1,0
71,2,32,1,0
72,2,10,1,0
73,2,58,1,0
74,2,88,1,0
75,2,64,1,0
76,2,41,1,0
77,2,55,1,0
78,2,60,1,0
79,2,25,1,0
80,2,90,1,0
81,2,17,1,0
82,2,76,1,0
83,2,46,1,0
84,2,93,1,0
85,2,78,1,0
86,2,85,1,0
87,2,81,1,0
88,2,50,1,0
89,2,48,1,0
90,2,59,1,0
91,2,28,1,0
92,2,86,1,0
93,2,66,1,0
94,3,7,1,0
95,3,68,1,0
96,3,34,1,0
97,3,12,1,0
98,3,71,1,0
99,3,1,1,0
100,3,11,1,0
101,3,41,1,0
102,3,5,1,0
103,3,65,1,0
104,3,55,1,0
105,3,19,1,0
106,3,74,1,0
