Index,Source,Target,Weight,Is_directed
1,1,2,1,0
2,1,3,1,0
3,4,5,1,0
4,3,5,1,0
5,5,6,1,0
6,6,7,1,0
7,8,9,1,0
8,8,5,1,0
9,9,10,1,0
10,4,11,1,0
11,5,11,1,0
12,11,12,1,0
13,2,12,1,0
14,3,12,1,0
15,7,12,1,0
16,11,13,1,0
17,12,14,1,0
18,13,15,1,0
19,14,15,1,0
20,12,16,1,0
21,15,17,1,0
22,16,17,1,0
23,17,18,1,0
24,18,19,1,0
25,19,20,1,0
26,15,19,1,0
27,20,21,1,0
28,21,22,1,0
29,22,23,1,0
30,23,24,1,0
31,23,25,1,0
32,26,25,1,0
33,25,27,1,0
34,27,28,1,0
35,28,29,1,0
36,30,17,1,0
37,8,30,1,0
38,26,30,1,0
39,17,31,1,0
40,29,31,1,0
41,23,32,1,0
42,31,32,1,0
43,27,32,1,0
44,15,33,1,0
45,19,34,1,0
46,35,36,1,0
47,35,37,1,0
48,33,37,1,0
49,34,36,1,0
50,34,37,1,0
51,38,37,1,0
52,37,39,1,0
53,37,40,1,0
54,30,38,1,0
55,39,40,1,0
56,40,41,1,0
57,40,42,1,0
58,41,42,1,0
59,43,44,1,0
60,34,43,1,0
61,44,45,1,0
62,45,46,1,0
63,46,47,1,0
64,46,48,1,0
65,47,49,1,0
66,42,49,1,0
68,45,49,1,0
69,48,49,1,0
70,49,50,1,0
71,49,51,1,0
72,51,52,1,0
73,52,53,1,0
74,53,54,1,0
75,49,54,1,0
77,54,55,1,0
78,54,56,1,0
79,55,56,1,0
80,56,57,1,0
81,50,57,1,0
82,56,58,1,0
83,51,58,1,0
84,54,59,1,0
85,56,59,1,0
87,55,59,1,0
88,59,60,1,0
89,59,61,1,0
90,60,61,1,0
91,60,62,1,0
92,61,62,1,0
93,63,59,1,0
94,63,64,1,0
95,64,61,1,0
96,38,65,1,0
97,64,65,1,0
98,49,66,1,0
100,62,66,1,0
101,62,67,1,0
102,65,66,1,0
103,66,67,1,0
104,65,68,1,0
105,47,69,1,0
106,49,69,1,0
107,68,69,1,0
108,69,70,1,0
109,24,70,1,0
110,70,71,1,0
111,24,72,1,0
112,71,72,1,0
113,71,73,1,0
114,70,74,1,0
115,70,75,1,0
116,69,75,1,0
117,74,75,1,0
118,76,77,1,0
119,69,77,1,0
120,75,77,1,0
121,77,78,1,0
122,78,79,1,0
123,77,80,1,0
125,79,80,1,0
126,68,81,1,0
127,81,80,1,0
128,77,82,1,0
129,82,83,1,0
130,83,84,1,0
131,83,85,1,0
132,84,85,1,0
133,85,86,1,0
134,86,87,1,0
135,85,88,1,0
136,85,89,1,0
137,88,89,1,0
138,89,90,1,0
140,90,91,1,0
141,89,92,1,0
143,91,92,1,0
144,92,93,1,0
145,92,94,1,0
146,93,94,1,0
147,94,95,1,0
148,80,96,1,0
149,82,96,1,0
150,94,96,1,0
151,80,97,1,0
152,80,98,1,0
153,80,99,1,0
154,92,100,1,0
155,94,100,1,0
156,95,96,1,0
157,96,97,1,0
158,98,100,1,0
159,99,100,1,0
160,100,101,1,0
161,92,102,1,0
162,101,102,1,0
163,100,103,1,0
164,100,104,1,0
165,103,104,1,0
166,103,105,1,0
167,100,106,1,0
168,104,105,1,0
169,105,106,1,0
170,105,107,1,0
171,105,108,1,0
172,106,107,1,0
173,108,109,1,0
174,103,110,1,0
175,109,110,1,0
176,110,111,1,0
177,110,112,1,0
178,17,113,1,0
179,32,113,1,0
180,32,114,1,0
181,27,115,1,0
182,114,115,1,0
183,68,116,1,0
184,12,117,1,0
185,75,118,1,0
186,76,118,1,0
187,1,80,1,0
