Index,Source,Target,Weight,Is_directed
1,8,3,1,0
2,9,5,1,0
3,9,6,1,0
4,10,0,1,0
5,10,2,1,0
6,13,5,1,0
7,13,6,1,0
8,13,9,1,0
9,14,0,1,0
10,14,3,1,0
11,15,0,1,0
12,16,14,1,0
13,17,1,1,0
14,17,6,1,0
15,17,9,1,0
16,17,13,1,0
17,18,15,1,0
18,19,1,1,0
19,19,7,1,0
20,20,8,1,0
21,20,16,1,0
22,20,18,1,0
23,21,18,1,0
24,22,17,1,0
25,24,14,1,0
26,24,15,1,0
27,24,18,1,0
28,25,17,1,0
29,26,1,1,0
30,26,25,1,0
31,27,1,1,0
32,27,7,1,0
33,27,17,1,0
34,27,25,1,0
35,27,26,1,0
36,28,1,1,0
37,28,8,1,0
38,28,20,1,0
39,29,10,1,0
40,29,18,1,0
41,29,21,1,0
42,29,24,1,0
43,30,7,1,0
44,30,19,1,0
45,30,28,1,0
46,31,17,1,0
47,32,9,1,0
48,32,13,1,0
49,33,12,1,0
50,33,14,1,0
51,33,16,1,0
52,33,21,1,0
53,34,14,1,0
54,34,33,1,0
55,35,29,1,0
56,36,1,1,0
57,36,20,1,0
58,36,23,1,0
59,37,8,1,0
60,37,14,1,0
61,37,16,1,0
62,37,21,1,0
63,37,33,1,0
64,37,34,1,0
65,37,36,1,0
66,38,14,1,0
67,38,16,1,0
68,38,20,1,0
69,38,33,1,0
70,39,36,1,0
71,40,0,1,0
72,40,7,1,0
73,40,14,1,0
74,40,15,1,0
75,40,33,1,0
76,40,36,1,0
77,40,37,1,0
78,41,1,1,0
79,41,9,1,0
80,41,13,1,0
81,42,0,1,0
82,42,2,1,0
83,42,10,1,0
84,42,30,1,0
85,43,14,1,0
86,43,29,1,0
87,43,33,1,0
88,43,37,1,0
89,43,38,1,0
90,44,2,1,0
91,44,20,1,0
92,44,34,1,0
93,44,38,1,0
94,45,8,1,0
95,45,15,1,0
96,45,18,1,0
97,45,21,1,0
98,45,23,1,0
99,45,24,1,0
100,45,29,1,0
101,45,37,1,0
102,46,43,1,0
103,47,0,1,0
104,47,10,1,0
105,47,20,1,0
106,47,28,1,0
107,47,30,1,0
108,47,42,1,0
109,49,34,1,0
110,49,46,1,0
111,50,14,1,0
112,50,16,1,0
113,50,20,1,0
114,50,33,1,0
115,50,42,1,0
116,50,45,1,0
117,51,4,1,0
118,51,11,1,0
119,51,18,1,0
120,51,21,1,0
121,51,23,1,0
122,51,24,1,0
123,51,29,1,0
124,51,45,1,0
125,51,50,1,0
126,52,14,1,0
127,52,29,1,0
128,52,38,1,0
129,52,40,1,0
130,53,43,1,0
131,54,1,1,0
132,54,6,1,0
133,54,7,1,0
134,54,13,1,0
135,54,19,1,0
136,54,41,1,0
137,55,15,1,0
138,55,51,1,0
139,56,5,1,0
140,56,6,1,0
141,57,5,1,0
142,57,6,1,0
143,57,9,1,0
144,57,13,1,0
145,57,17,1,0
146,57,39,1,0
147,57,41,1,0
148,57,48,1,0
149,57,54,1,0
150,58,38,1,0
151,59,3,1,0
152,59,8,1,0
153,59,15,1,0
154,59,36,1,0
155,59,45,1,0
156,60,32,1,0
157,61,2,1,0
158,61,37,1,0
160,61,53,1,0
