Index,Source,Target,Weight,Is_directed
1,"Fine organic matter","Tabellaria",1,1
2,"Fine organic matter","Synura",1,1
3,"Fine organic matter","Synedra",1,1
4,"Fine organic matter","Mallomonas",1,1
5,"Fine organic matter","Dinobryon",1,1
6,"Fine organic matter","Asterionella",1,1
7,"Fine organic matter","Cryptomonas",1,1
8,"Fine organic matter","Chroomonas",1,1
9,"Fine organic matter","Trachelomonas",1,1
10,"Fine organic matter","Phacus",1,1
11,"Fine organic matter","Scenedesmus",1,1
12,"Fine organic matter","Elaktothrix",1,1
13,"Fine organic matter","Xanthidium",1,1
14,"Fine organic matter","Ankistrodesmus",1,1
15,"Fine organic matter","Tetraedron",1,1
16,"Fine organic matter","Staurastrum",1,1
17,"Fine organic matter","Spondylosium",1,1
18,"Fine organic matter","Schroederia",1,1
19,"Fine organic matter","Quadrigula",1,1
20,"Fine organic matter","Pediastrum",1,1
21,"Fine organic matter","Oocystis",1,1
22,"Fine organic matter","Euastrum",1,1
23,"Fine organic matter","Crucigenia",1,1
24,"Fine organic matter","Cosmarium",1,1
25,"Fine organic matter","Arthrodesmus",1,1
26,"Fine organic matter","Anabaena",1,1
27,"Fine organic matter","Aphanothece",1,1
28,"Fine organic matter","Rhabdoderma",1,1
29,"Fine organic matter","Coelosphaerium",1,1
30,"Fine organic matter","Gomphosphaeria",1,1
31,"Fine organic matter","Aphanocapsa",1,1
32,"Fine organic matter","Merismopedia",1,1
33,"Fine organic matter","Gloeothece",1,1
34,"Fine organic matter","Chroococcus",1,1
35,"Fine organic matter","Zygnema",1,1
36,"Fine organic matter","Tribonema",1,1
37,"Fine organic matter","Spirogyra",1,1
38,"Fine organic matter","Sphaerozosma",1,1
39,"Fine organic matter","Scytonema",1,1
40,"Fine organic matter","Schizothrix",1,1
41,"Fine organic matter","Rhizoclonium",1,1
42,"Fine organic matter","Radiofilum",1,1
43,"Fine organic matter","Plectonema",1,1
44,"Fine organic matter","Phormidium",1,1
45,"Fine organic matter","Oscillatoria",1,1
46,"Fine organic matter","Oedogonium",1,1
47,"Fine organic matter","Mougeotia",1,1
48,"Fine organic matter","Microcoleus",1,1
49,"Fine organic matter","Microchaete",1,1
50,"Fine organic matter","Lyngbya",1,1
51,"Fine organic matter","Hyalotheca",1,1
52,"Fine organic matter","Hapalosiphon",1,1
53,"Fine organic matter","Groenbladia",1,1
54,"Fine organic matter","Geminella",1,1
55,"Fine organic matter","Desmidium",1,1
56,"Fine organic matter","Bulbochaete",1,1
57,"Fine organic matter","Binuclearia",1,1
58,"Fine organic matter","Batrachospermum",1,1
59,"Fine organic matter","Bambusina",1,1
60,"Fine organic matter","Arthropoda Hydracarina",1,1
61,"Fine organic matter","Corvomyenia everetti",1,1
62,"Fine organic matter","Ephydatia muelleri",1,1
63,"Fine organic matter","Spongilla lacustris",1,1
64,"Tabellaria","Turbellaria Tricladida",1,1
65,"Tabellaria","Annelida Oligochaete",1,1
66,"Tabellaria","Sphaeriidae",1,1
67,"Tabellaria","Campeloma decisum",1,1
68,"Tabellaria","Paratendipes",1,1
69,"Synura","Turbellaria Tricladida",1,1
70,"Synura","Trichocerca cylindrica",1,1
71,"Synedra","Amphipoda Crangonyx gracilis",1,1
72,"Synedra","Stenochironomus",1,1
73,"Synedra","Pseudochironomus",1,1
74,"Synedra","Annelida Oligochaete",1,1
75,"Synedra","Sphaeriidae",1,1
76,"Synedra","Campeloma decisum",1,1
77,"Synedra","Trichocerca cylindrica",1,1
78,"Synedra","Conochiloides",1,1
79,"Mallomonas","Nauplii",1,1
80,"Mallomonas","Polyarthra vulgaris",1,1
81,"Mallomonas","Largemouth bass (Micropterus salsmoides), adult",1,1
82,"Dinobryon","Nauplii",1,1
83,"Dinobryon","Polyarthra vulgaris",1,1
84,"Dinobryon","Largemouth bass (Micropterus salsmoides), adult",1,1
85,"Asterionella","Nauplii",1,1
86,"Asterionella","Polyarthra vulgaris",1,1
87,"Asterionella","Largemouth bass (Micropterus salsmoides), adult",1,1
88,"Cryptomonas","Nauplii",1,1
89,"Cryptomonas","Polyarthra vulgaris",1,1
90,"Cryptomonas","Largemouth bass (Micropterus salsmoides), adult",1,1
91,"Chroomonas","Nauplii",1,1
92,"Chroomonas","Polyarthra vulgaris",1,1
93,"Chroomonas","Largemouth bass (Micropterus salsmoides), adult",1,1
94,"Trachelomonas","Nauplii",1,1
95,"Trachelomonas","Polyarthra vulgaris",1,1
96,"Trachelomonas","Largemouth bass (Micropterus salsmoides), adult",1,1
97,"Phacus","Nauplii",1,1
98,"Phacus","Polyarthra vulgaris",1,1
99,"Phacus","Largemouth bass (Micropterus salsmoides), adult",1,1
100,"Scenedesmus","Nauplii",1,1
101,"Scenedesmus","Polyarthra vulgaris",1,1
102,"Scenedesmus","Largemouth bass (Micropterus salsmoides), adult",1,1
103,"Elaktothrix","Nauplii",1,1
104,"Elaktothrix","Polyarthra vulgaris",1,1
105,"Elaktothrix","Largemouth bass (Micropterus salsmoides), adult",1,1
106,"Xanthidium","Nauplii",1,1
107,"Xanthidium","Polyarthra vulgaris",1,1
108,"Xanthidium","Largemouth bass (Micropterus salsmoides), adult",1,1
109,"Ankistrodesmus","Nauplii",1,1
110,"Ankistrodesmus","Polyarthra vulgaris",1,1
111,"Ankistrodesmus","Largemouth bass (Micropterus salsmoides), adult",1,1
112,"Tetraedron","Nauplii",1,1
113,"Tetraedron","Polyarthra vulgaris",1,1
114,"Tetraedron","Largemouth bass (Micropterus salsmoides), adult",1,1
115,"Staurastrum","Nauplii",1,1
116,"Staurastrum","Polyarthra vulgaris",1,1
117,"Staurastrum","Largemouth bass (Micropterus salsmoides), adult",1,1
118,"Spondylosium","Nauplii",1,1
119,"Spondylosium","Polyarthra vulgaris",1,1
120,"Spondylosium","Largemouth bass (Micropterus salsmoides), adult",1,1
121,"Schroederia","Nauplii",1,1
122,"Schroederia","Polyarthra vulgaris",1,1
123,"Schroederia","Largemouth bass (Micropterus salsmoides), adult",1,1
124,"Quadrigula","Nauplii",1,1
125,"Quadrigula","Polyarthra vulgaris",1,1
126,"Quadrigula","Largemouth bass (Micropterus salsmoides), adult",1,1
127,"Pediastrum","Nauplii",1,1
128,"Pediastrum","Polyarthra vulgaris",1,1
129,"Pediastrum","Largemouth bass (Micropterus salsmoides), adult",1,1
130,"Oocystis","Nauplii",1,1
131,"Oocystis","Polyarthra vulgaris",1,1
132,"Oocystis","Largemouth bass (Micropterus salsmoides), adult",1,1
133,"Euastrum","Nauplii",1,1
134,"Euastrum","Polyarthra vulgaris",1,1
135,"Euastrum","Largemouth bass (Micropterus salsmoides), adult",1,1
136,"Crucigenia","Nauplii",1,1
137,"Crucigenia","Polyarthra vulgaris",1,1
138,"Crucigenia","Largemouth bass (Micropterus salsmoides), adult",1,1
139,"Cosmarium","Nauplii",1,1
140,"Cosmarium","Polyarthra vulgaris",1,1
141,"Cosmarium","Largemouth bass (Micropterus salsmoides), adult",1,1
142,"Arthrodesmus","Nauplii",1,1
143,"Arthrodesmus","Polyarthra vulgaris",1,1
144,"Arthrodesmus","Largemouth bass (Micropterus salsmoides), adult",1,1
145,"Anabaena","Nauplii",1,1
146,"Anabaena","Polyarthra vulgaris",1,1
147,"Anabaena","Largemouth bass (Micropterus salsmoides), adult",1,1
148,"Aphanothece","Nauplii",1,1
149,"Aphanothece","Polyarthra vulgaris",1,1
150,"Aphanothece","Largemouth bass (Micropterus salsmoides), adult",1,1
151,"Rhabdoderma","Nauplii",1,1
152,"Rhabdoderma","Polyarthra vulgaris",1,1
153,"Rhabdoderma","Largemouth bass (Micropterus salsmoides), adult",1,1
154,"Coelosphaerium","Parachironomus",1,1
155,"Coelosphaerium","Microtendipes",1,1
156,"Coelosphaerium","Glyptotendipes",1,1
157,"Coelosphaerium","Paratanytarsus",1,1
158,"Coelosphaerium","Cricotopus",1,1
159,"Coelosphaerium","Corynoneura",1,1
160,"Coelosphaerium","Chaetocladius",1,1
