Index,Source,Target,Weight,Is_directed
1,NEU003,NEU001,1,1
2,NEU005,NEU001,1,1
3,NEU011,NEU001,1,1
4,NEU001,NEU013,1,1
5,NEU001,NEU014,2,1
6,NEU044,NEU001,1,1
7,NEU001,NEU055,2,1
8,NEU001,NEU056,4,1
9,NEU001,NEU057,2,1
10,NEU001,NEU058,1,1
11,NEU001,NEU060,1,1
12,NEU001,NEU068,5,1
13,NEU073,NEU001,1,1
14,NEU001,NEU113,1,1
15,NEU158,NEU001,1,1
16,NEU162,NEU001,1,1
17,NEU001,NEU170,1,1
18,NEU001,NEU171,1,1
19,NEU001,NEU178,3,1
20,NEU001,NEU180,1,1
21,NEU198,NEU001,1,1
22,NEU001,NEU226,2,1
23,NEU004,NEU002,1,1
24,NEU006,NEU002,1,1
25,NEU012,NEU002,1,1
26,NEU002,NEU013,1,1
27,NEU002,NEU014,1,1
28,NEU045,NEU002,2,1
29,NEU002,NEU054,1,1
30,NEU002,NEU056,1,1
31,NEU002,NEU057,5,1
32,NEU002,NEU060,1,1
33,NEU002,NEU067,1,1
34,NEU002,NEU170,1,1
35,NEU170,NEU002,1,1
36,NEU171,NEU002,1,1
37,NEU002,NEU179,5,1
38,NEU179,NEU002,1,1
39,NEU002,NEU181,1,1
40,NEU002,NEU185,1,1
41,NEU199,NEU002,1,1
42,NEU002,NEU225,2,1
43,NEU232,NEU002,1,1
44,NEU003,NEU004,1,1
45,NEU004,NEU003,2,1
46,NEU023,NEU003,1,1
47,NEU003,NEU054,2,1
48,NEU003,NEU055,3,1
49,NEU003,NEU060,1,1
50,NEU003,NEU071,1,1
51,NEU003,NEU081,1,1
52,NEU081,NEU003,3,1
53,NEU003,NEU083,1,1
54,NEU003,NEU112,1,1
55,NEU112,NEU003,2,1
56,NEU003,NEU118,1,1
57,NEU003,NEU124,1,1
58,NEU124,NEU003,2,1
59,NEU003,NEU130,1,1
60,NEU003,NEU166,1,1
61,NEU003,NEU173,1,1
62,NEU003,NEU175,2,1
63,NEU003,NEU176,3,1
64,NEU003,NEU177,2,1
65,NEU003,NEU184,1,1
66,NEU003,NEU185,1,1
67,NEU003,NEU188,2,1
68,NEU003,NEU198,1,1
69,NEU003,NEU200,1,1
70,NEU003,NEU212,1,1
71,NEU003,NEU216,1,1
72,NEU003,NEU220,1,1
73,NEU003,NEU231,1,1
74,NEU004,NEU023,1,1
75,NEU027,NEU004,1,1
76,NEU004,NEU054,1,1
77,NEU004,NEU055,1,1
78,NEU055,NEU004,1,1
79,NEU004,NEU059,2,1
