Index,Source,Target,Weight,Is_directed
1,0,1,1,0
2,0,2,1,0
3,0,3,1,0
4,0,4,1,0
5,0,5,1,0
6,0,6,1,0
7,0,7,1,0
8,0,8,1,0
9,0,9,1,0
10,0,10,1,0
11,0,11,1,0
12,0,12,1,0
13,0,13,1,0
14,0,14,1,0
15,0,15,1,0
16,0,16,1,0
17,0,17,1,0
18,0,18,1,0
19,0,19,1,0
20,0,20,1,0
21,0,21,1,0
22,0,22,1,0
23,0,23,1,0
24,0,24,1,0
25,0,25,1,0
26,0,26,1,0
27,0,27,1,0
28,0,28,1,0
29,0,29,1,0
30,0,30,1,0
31,0,31,1,0
32,0,32,1,0
33,0,33,1,0
34,0,34,1,0
35,0,35,1,0
36,0,36,1,0
37,0,37,1,0
38,0,38,1,0
39,0,39,1,0
40,0,40,1,0
41,0,41,1,0
42,1,92,1,0
43,1,43,1,0
44,1,3,1,0
45,1,93,1,0
46,1,10,1,0
47,1,94,1,0
48,1,95,1,0
49,1,18,1,0
50,1,96,1,0
51,1,53,1,0
52,1,97,1,0
53,1,59,1,0
54,1,98,1,0
55,1,99,1,0
56,1,100,1,0
57,1,101,1,0
58,3,42,1,0
59,3,105,1,0
60,3,106,1,0
61,4,0,1,0
62,4,42,1,0
63,4,92,1,0
64,4,2,1,0
65,4,44,1,0
66,4,107,1,0
67,4,18,1,0
68,4,108,1,0
69,4,109,1,0
70,4,110,1,0
71,4,111,1,0
72,4,52,1,0
73,4,53,1,0
74,4,112,1,0
75,4,113,1,0
76,4,114,1,0
77,4,115,1,0
78,4,116,1,0
79,4,117,1,0
80,4,118,1,0
81,4,75,1,0
82,4,38,1,0
83,5,5,1,0
84,5,25,1,0
85,6,0,1,0
86,6,42,1,0
87,6,4,1,0
88,6,107,1,0
89,6,108,1,0
90,6,50,1,0
91,6,109,1,0
92,6,112,1,0
93,6,114,1,0
94,6,115,1,0
95,6,124,1,0
96,9,3,1,0
97,9,61,1,0
98,10,3,1,0
99,10,50,1,0
100,10,109,1,0
101,12,3,1,0
102,12,4,1,0
103,12,6,1,0
104,12,10,1,0
105,12,59,1,0
106,12,77,1,0
107,12,90,1,0
108,14,3,1,0
109,14,4,1,0
110,14,27,1,0
111,15,6,1,0
112,15,10,1,0
113,15,70,1,0
114,15,89,1,0
115,16,11,1,0
116,16,132,1,0
117,16,133,1,0
118,16,134,1,0
119,20,102,1,0
120,20,47,1,0
121,20,125,1,0
122,20,126,1,0
123,20,177,1,0
124,21,92,1,0
125,21,2,1,0
126,21,3,1,0
127,21,4,1,0
128,21,18,1,0
129,21,27,1,0
130,21,59,1,0
131,21,99,1,0
132,22,3,1,0
133,22,8,1,0
134,22,108,1,0
135,22,50,1,0
136,25,6,1,0
137,25,10,1,0
138,25,72,1,0
139,27,21,1,0
140,27,217,1,0
141,28,3,1,0
142,28,4,1,0
143,28,28,1,0
144,29,3,1,0
145,29,8,1,0
146,29,13,1,0
147,29,141,1,0
148,29,22,1,0
149,29,51,1,0
150,29,55,1,0
151,29,56,1,0
152,29,62,1,0
153,29,64,1,0
154,30,2,1,0
155,30,18,1,0
156,30,103,1,0
157,31,3,1,0
158,31,108,1,0
159,31,58,1,0
160,31,118,1,0
161,37,331,1,0
162,37,332,1,0
163,42,1,1,0
164,42,43,1,0
165,42,3,1,0
166,42,4,1,0
167,42,44,1,0
168,42,6,1,0
169,42,8,1,0
170,42,45,1,0
171,42,10,1,0
172,42,12,1,0
173,42,13,1,0
174,42,46,1,0
175,42,47,1,0
176,42,48,1,0
177,42,49,1,0
178,42,20,1,0
179,42,22,1,0
180,42,23,1,0
181,42,50,1,0
182,42,51,1,0
183,42,52,1,0
184,42,27,1,0
185,42,53,1,0
186,42,28,1,0
187,42,54,1,0
188,42,55,1,0
189,42,56,1,0
190,42,57,1,0
191,42,58,1,0
192,42,59,1,0
193,42,60,1,0
194,42,61,1,0
195,42,62,1,0
196,42,63,1,0
197,42,64,1,0
198,42,65,1,0
199,42,66,1,0
200,42,67,1,0
201,42,68,1,0
202,42,69,1,0
203,42,70,1,0
204,42,71,1,0
205,42,72,1,0
206,42,73,1,0
207,42,74,1,0
208,42,75,1,0
209,42,76,1,0
210,42,77,1,0
211,42,78,1,0
212,42,79,1,0
213,42,80,1,0
214,42,81,1,0
215,42,82,1,0
216,42,83,1,0
217,42,84,1,0
218,42,85,1,0
219,42,86,1,0
220,42,87,1,0
221,42,88,1,0
222,42,37,1,0
223,42,89,1,0
224,42,90,1,0
225,42,91,1,0
226,43,2,1,0
227,43,93,1,0
228,43,7,1,0
229,43,95,1,0
230,43,18,1,0
231,43,53,1,0
232,43,103,1,0
233,43,59,1,0
234,43,104,1,0
235,43,99,1,0
236,43,32,1,0
237,44,92,1,0
238,44,2,1,0
239,44,93,1,0
240,44,95,1,0
241,44,119,1,0
242,44,120,1,0
243,44,121,1,0
244,44,122,1,0
245,45,125,1,0
246,45,126,1,0
247,46,6,1,0
248,46,46,1,0
249,47,3,1,0
250,47,23,1,0
251,48,6,1,0
252,48,45,1,0
253,49,94,1,0
254,49,165,1,0
255,51,3,1,0
