Index,Source,Target
1,KLAX,EGLL
2,YSSY,VHHH
3,RKSI,EDDP
4,KLAX,EHAM
5,VHHH,CYYZ
6,UUEE,VHHH
7,SBKP,KMIA
8,RCTP,KJFK
9,PANC,RKSI
10,YMML,OTHH
11,YSSY,OTHH
12,KFAT,KSEA
13,VHHH,KSFO
14,RCTP,CYYZ
15,RCTP,EHAM
16,KDFW,RKSI
17,VHHH,OMDB
18,KLAX,RKSI
19,VHHH,EHAM
20,EDDF,RKSI
21,EDDF,KSFO
22,VHHH,KLAX
23,OTHH,KJFK
24,RJBB,WSSS
25,LHBP,RKSI
26,KLAX,RKSI
27,ELLX,SBGR
28,KLAX,YMML
29,PANC,RCTP
30,CYYZ,VHHH
31,RKSI,EHAM
32,SBKP,KMIA
33,71KY,OBBI
34,RKSI,KLAX
35,PANC,VHHH
36,EGLL,KLAX
37,VHHH,LTBW
38,RKSI,KLAX
39,RCTP,KLAX
40,LEMD,MROC
41,PANC,RCTP
42,EGLL,KSFO
43,WSSS,EGLL
44,RKSI,OTHH
45,EGLL,KLAX
46,RKSI,LTBW
47,KLAX,YSSY
48,RCTP,EDDF
49,RPLL,OMDB
50,RCTP,KSFO
51,RCTP,KLAX
52,EDDF,KORD
53,RPLL,OTHH
54,VHHH,EDDF
55,EGLL,KLAX
56,RCTP,KLAX
57,RKSI,EHAM
58,EPWA,KEWR
59,WSSS,EGLL
60,RPLL,OMAA
61,KATL,RKSI
62,OMDB,DAAG
63,EGLL,KORD
64,WSSS,EHAM
65,KATL,KJFK
66,VHHH,EGLL
67,VHHH,EGLL
68,LEMD,KMIA
69,VIDP,UUEE
70,VHHH,EDDF
71,RCTP,EHAM
72,WSSS,LFPG
73,KDFW,KPHL
74,EDDF,RKSI
75,CYYZ,RKSI
76,FACT,EGLL
77,WSSS,EKCH
78,EGLL,VIDP
79,KJFK,RKSI
80,LEMD,KJFK
81,VHHH,EGLL
82,KJFK,RKSI
83,LPPT,SBGR
84,KATL,RKSI
85,OMDB,RPLL
86,LIMC,KEWR
87,EGLL,KJFK
88,KLAX,EBLG
89,PANC,VHHH
90,PANC,VHHH
91,RKSI,EDDF
92,VHHH,PANC
93,KLAX,RKSI
94,WSSS,EHAM
95,UUEE,VHHH
96,EDDF,RKSI
97,VHHH,EHAM
98,KORD,RKSI
99,RKSI,KLAX
100,KDEN,KSFO
101,WSSS,YSSY
102,KDFW,RKSI
103,EDDF,VOBL
104,KDFW,RKSI
105,PANC,KMIA
106,OTHH,YMML
107,VHHH,EGLL
108,RKSI,CYVR
109,EGLL,VHHH
110,KDTW,RKSI
111,OTHH,WSSS
112,VHHH,EDDF
113,OTHH,YMML
114,EGLL,CYYZ
115,KLAX,KORD
116,PANC,RJBB
117,OBBI,RPLL
118,RKSI,LOWW
119,KSEA,KJFK
120,OTHH,YSSY
121,WSSS,OTHH
122,KLAX,RCTP
123,KORD,RKSI
124,VHHH,YSSY
125,ENGM,OTHH
126,PANC,VHHH
127,VIDP,OMDB
128,ZGSZ,PANC
129,PANC,RJBB
130,EGLL,KIAD
131,KSFO,RCTP
132,EGLL,KJFK
133,KJFK,RKSI
134,ELLX,OMDW
135,EDDF,SBGR
136,CYVR,YSSY
137,ETAR,KBWI
138,WMKK,OTHH
139,VHHH,OTHH
140,VABB,KEWR
141,KBOS,KSFO
142,PANC,KMIA
143,KSFO,KORD
144,VIDP,KEWR
145,KORD,VIDP
146,KSEA,RKSI
147,KLAX,RCTP
148,KDEN,KBWI
149,KSFO,RKSI
150,VHHH,UAAA
151,EGLL,RKSI
152,KJFK,PANC
153,SPJC,LEMD
154,KLAX,RKSI
155,EGLL,WMKK
156,OMSJ,WSSS
157,KPHX,KFLL
158,KJFK,KPHX
159,LFPG,RKSI
160,KSFO,KPHL
161,SBGR,EGLL
162,SPJC,LEMD
163,KBOS,KPHX
164,KMIA,SPJC
165,EDDF,OMDB
166,PANC,KORD
167,KSFO,RCTP
168,VGTJ,OERK
169,PANC,KORD
170,KIAD,OMDB
171,EDDF,VIDP
172,EDDK,VHHH
173,KLAX,PANC
174,KTEB,KVNY
175,KBWI,KOAK
176,VIDP,CYYZ
177,KLCK,PANC
178,EGLL,OMDB
179,ELLX,KATL
180,SBGL,LFPG
181,KEWR,KSFO
182,KABQ,KSEA
183,KSEA,KRDU
184,KLAX,KBOS
185,LSZH,CYUL
186,SBGR,LFPG
187,KLAX,KJFK
188,KSAN,KPHL
189,KPHL,KPHX
190,LFPG,VIDP
191,CYVR,NTAA
192,KSEA,KJFK
193,LPPT,KEWR
194,KLAX,KPHL
195,RKSI,LOWW
196,LPPT,CYYZ
197,VIDP,LTBW
198,LFPG,RKSI
199,KJFK,KSFO
200,KLAX,EDDF
201,KSEA,KATL
202,KPHX,KFLL
203,KEWR,KLAX
204,KORD,KLAX
205,KBWI,KLAS
206,KJFK,KLAX
207,EGLL,OMAD
208,LPPT,KMIA
209,KLAS,KEWR
210,KSFO,KDTW
211,UUEE,VHHH
212,KSAN,KEWR
213,ELLX,KORD
214,KORD,KSEA
215,MROC,KATL
216,VABB,VHHH
217,KCLT,KHHR
218,CYVR,RKSI
219,KSAN,KJFK
220,EHAM,WSSS
221,PANC,RKSI
222,EHAM,OTHH
223,KPHL,KSFO
224,UUWW,UNEE
225,CYVR,CYYZ
226,KDFW,KSEA
227,LPPT,SBGR
228,PANC,KCVG
229,KSDF,KRIR
230,EDDK,KSDF
231,PANC,KMIA
232,KLAS,KEWR
233,PANC,KSEA
234,KLAX,KDTW
235,EHAM,RKSI
236,KSTL,KPHX
237,LFPG,OMDB
238,KLAX,KJFK
239,KIAH,KSFO
240,KSEA,KORD
241,EGLL,OTHH
242,KSAN,KJFK
243,KLAX,RJTT
244,TBPB,KMIA
245,KSDF,PANC
246,KMSP,KSFO
247,KSEA,KDTW
248,KORD,KLAX
249,UAAA,EDDF
250,KLAS,KBOS
251,ELLX,OMDW
252,KORD,KPHX
253,KSEA,KDFW
254,PANC,VHHH
255,KSDF,KMHR
256,KATL,SKMA
257,RJBB,KOAK
